,weight2011,weight2021,height2011,height2021
0,75.0,68.0,188.0,184.0
1,69.0,75.0,172.0,185.0
2,75.0,70.0,180.0,173.0
3,63.0,75.0,171.0,176.0
4,71.0,63.0,174.0,177.0
5,66.0,81.0,175.0,184.0
6,76.0,70.0,182.0,172.0
7,83.0,70.0,185.0,175.0
8,75.0,68.0,185.0,175.0
9,72.0,79.0,177.0,195.0
10,77.0,71.0,186.0,174.0
11,78.0,76.0,187.0,182.0
12,78.0,77.0,184.0,190.0
13,75.0,84.0,180.0,196.0
14,79.0,76.0,187.0,177.0
15,82.0,78.0,190.0,175.0
16,74.0,79.0,175.0,192.0
17,75.0,82.0,175.0,188.0
18,92.0,84.0,194.0,183.0
19,72.0,83.0,175.0,187.0
20,59.0,77.0,161.0,188.0
21,82.0,75.0,187.0,191.0
22,65.0,68.0,185.0,180.0
23,75.0,72.0,183.0,168.0
24,67.0,70.0,178.0,177.0
25,73.0,74.0,186.0,185.0
26,70.0,71.0,175.0,177.0
27,83.0,83.0,188.0,186.0
28,61.0,82.0,170.0,190.0
29,78.0,63.0,188.0,170.0
30,70.0,70.0,181.0,173.0
31,70.0,92.0,187.0,194.0
32,78.0,73.0,188.0,175.0
33,70.0,75.0,177.0,180.0
34,79.0,57.0,186.0,161.0
35,64.0,80.0,173.0,195.0
36,70.0,60.0,178.0,170.0
37,83.0,77.0,189.0,179.0
38,78.0,86.0,185.0,196.0
39,72.0,70.0,175.0,169.0
40,70.0,70.0,177.0,174.0
41,74.0,71.0,188.0,172.0
42,69.0,77.0,175.0,182.0
43,79.0,75.0,191.0,185.0
44,77.0,72.0,191.0,181.0
45,79.0,60.0,186.0,165.0
46,79.0,66.0,185.0,170.0
47,67.0,70.0,176.0,181.0
48,76.0,83.0,189.0,196.0
49,71.0,72.0,178.0,175.0
50,77.0,68.0,187.0,171.0
51,84.0,77.0,188.0,178.0
52,63.0,74.0,170.0,186.0
53,79.0,84.0,184.0,187.0
54,80.0,58.0,186.0,168.0
55,77.0,71.0,184.0,177.0
56,69.0,66.0,168.0,181.0
57,70.0,74.0,180.0,181.0
58,78.0,95.0,183.0,194.0
59,85.0,68.0,183.0,168.0
60,69.0,83.0,179.0,194.0
61,71.0,73.0,179.0,180.0
62,80.0,80.0,188.0,187.0
63,67.0,70.0,173.0,177.0
64,79.0,70.0,178.0,175.0
65,70.0,67.0,174.0,174.0
66,70.0,81.0,182.0,195.0
67,73.0,65.0,180.0,167.0
68,75.0,77.0,185.0,187.0
69,87.0,71.0,185.0,178.0
70,60.0,68.0,169.0,178.0
71,72.0,75.0,178.0,182.0
72,80.0,79.0,180.0,183.0
73,73.0,77.0,181.0,183.0
74,63.0,76.0,165.0,185.0
75,72.0,68.0,181.0,187.0
76,75.0,82.0,183.0,183.0
77,78.0,75.0,183.0,179.0
78,80.0,83.0,193.0,189.0
79,82.0,67.0,179.0,179.0
80,74.0,88.0,179.0,192.0
81,73.0,77.0,183.0,186.0
82,74.0,64.0,187.0,175.0
83,76.0,65.0,190.0,174.0
84,84.0,82.0,183.0,187.0
85,80.0,78.0,188.0,185.0
86,75.0,83.0,164.0,186.0
87,69.0,70.0,175.0,179.0
88,87.0,78.0,185.0,193.0
89,77.0,68.0,187.0,178.0
90,67.0,65.0,172.0,180.0
91,77.0,80.0,184.0,184.0
92,80.0,72.0,191.0,180.0
93,86.0,82.0,188.0,190.0
94,76.0,69.0,184.0,175.0
95,88.0,83.0,190.0,183.0
96,84.0,75.0,192.0,185.0
97,73.0,77.0,177.0,173.0
98,72.0,77.0,184.0,184.0
99,80.0,79.0,186.0,184.0
100,72.0,66.0,178.0,167.0
101,83.0,72.0,186.0,184.0
